training_episode,benchmark_episode_id,method,actor_critic_loss,policy_loss,value_loss,entropy,candidate_reward_mean,selected_reward_mean,task_completion_proxy,remaining_task_ratio,device
3300,S59,paper1_deep_hgrl_ugv_assisted,0.031740330159664154,0.0296709172860119,0.009360286432638532,0.2142715661202383,1.0991492345929146,1.2641635239124298,1.0,0.0,cuda
3400,S92,paper1_deep_hgrl_ugv_assisted,0.03948197886347771,0.02809434285154544,0.029102789441822097,0.17086168071302746,1.333484634757042,1.5480686873197556,1.0,0.0,cuda
3500,S72,paper1_deep_hgrl_ugv_assisted,0.013607820495963097,0.00741614889623321,0.01524698188950424,0.06694695676064755,1.328182116150856,1.5707214325666428,1.0,0.0,cuda
3600,S14,paper1_deep_hgrl_ugv_assisted,0.015218242071568966,0.004557497169855651,0.025466706142651674,0.07992726611200851,1.3075557053089142,1.3865178376436234,1.0,0.0,cuda
3700,S6,paper1_deep_hgrl_ugv_assisted,0.026460718363523483,0.022058002541512245,0.014235567105060909,0.2003289016245731,1.240106776356697,1.397838369011879,1.0,0.0,cuda
3800,S90,paper1_deep_hgrl_ugv_assisted,0.011903256177902222,0.008701018004558136,0.008665926684329861,0.06974278052232162,1.0734376460313797,1.2871738523244858,1.0,0.0,cuda
3900,S60,paper1_deep_hgrl_ugv_assisted,0.011153088882565498,0.004799690435901338,0.015663182333810255,0.06950332047910025,1.18467378616333,1.384837195277214,1.0,0.0,cuda
4000,S23,paper1_deep_hgrl_ugv_assisted,0.0212726928293705,0.014140705694117628,0.019393120182940038,0.15949174801601812,1.3599309027194977,1.46723572909832,1.0,0.0,cuda
4100,S8,paper1_deep_hgrl_ugv_assisted,0.022474782541394234,0.015301796414860291,0.01986239452526206,0.17650911672916214,1.368886485695839,1.5015903413295746,1.0,0.0,cuda
4200,S54,paper1_deep_hgrl_ugv_assisted,0.009818685241043568,0.00022022587238246238,0.021457908675074577,0.005760006154256016,1.2873181104660034,1.50365249812603,1.0,0.0,cuda
4300,S30,paper1_deep_hgrl_ugv_assisted,0.03209661319851875,0.025390759676490404,0.016825713170419476,0.08657168475610888,1.0694422498345375,1.2603446245193481,1.0,0.0,cuda
4400,S86,paper1_deep_hgrl_ugv_assisted,0.01313528697937727,0.005524427735565496,0.01868565538461553,0.07976853432052901,1.2652576193213463,1.5636393204331398,1.0,0.0,cuda
4500,S70,paper1_deep_hgrl_ugv_assisted,0.007693824358284473,0.0021103979231611447,0.01315116378282255,0.03345966872368427,1.2133326977491379,1.3624742925167084,1.0,0.0,cuda
4600,S56,paper1_deep_hgrl_ugv_assisted,0.007116751279681921,1.0414423804672168e-05,0.015800465691427235,0.000387242929235904,1.0721832886338234,1.2966968715190887,1.0,0.0,cuda
4700,S25,paper1_deep_hgrl_ugv_assisted,0.006607765797525644,4.7683555570721126e-07,0.014683409470308106,2.449378826399932e-05,1.2425906956195831,1.4500455558300018,1.0,0.0,cuda
4800,S71,paper1_deep_hgrl_ugv_assisted,0.00688585452735424,0.0033446727984483005,0.008790071688451917,0.041435058577126906,1.288882851600647,1.5120275169610977,1.0,0.0,cuda
4900,S35,paper1_deep_hgrl_ugv_assisted,0.006860087160021067,0.0019161462141710217,0.011752397524105618,0.03446377817799074,1.1098542511463165,1.2982890158891678,1.0,0.0,cuda
5000,S65,paper1_deep_hgrl_ugv_assisted,0.013338036835193634,1.6568368209846085e-05,0.029617516149301082,0.0006412653047691008,0.9664373993873596,1.233848586678505,1.0,0.0,cuda
5100,S72,paper1_deep_hgrl_ugv_assisted,0.009484069421887398,0.003716624311886463,0.013804462607367896,0.04445626958795009,1.328182116150856,1.5707214325666428,1.0,0.0,cuda
5200,S12,paper1_deep_hgrl_ugv_assisted,0.01990150287747383,0.014633217784876251,0.014543542474370952,0.12763093841565035,1.2633539885282516,1.3509744703769684,1.0,0.0,cuda
5300,S53,paper1_deep_hgrl_ugv_assisted,0.005975391715764999,0.0035820827778181297,0.006611322748085513,0.058178581185088014,1.2645622044801712,1.4952972382307053,1.0,0.0,cuda
5400,S77,paper1_deep_hgrl_ugv_assisted,0.09812134504318237,0.09076600754633524,0.02019228085191571,0.17311985273931016,1.120913714170456,1.3314435482025146,1.0,0.0,cuda
5500,S88,paper1_deep_hgrl_ugv_assisted,0.009921858087182045,0.00033000431496077454,0.0214852647193311,0.0076514310017632425,1.260943353176117,1.5013574957847595,1.0,0.0,cuda
5600,S59,paper1_deep_hgrl_ugv_assisted,0.03696346655488014,0.02928233575721606,0.01942739088917733,0.1061197108657482,1.0991492345929146,1.2641635239124298,1.0,0.0,cuda
5700,S80,paper1_deep_hgrl_ugv_assisted,0.010513892397284508,0.0062208331655710936,0.011177037108240029,0.07366073253265751,1.0935153663158417,1.3009029924869537,1.0,0.0,cuda
5800,S60,paper1_deep_hgrl_ugv_assisted,0.006972069852054119,0.0029379139498928453,0.009965245733610573,0.04502048459790422,1.18467378616333,1.384837195277214,1.0,0.0,cuda
5900,S64,paper1_deep_hgrl_ugv_assisted,0.0036806296557188034,7.058908408685838e-06,0.008169739985632418,0.0002812068545843296,1.2121527343988419,1.439414143562317,1.0,0.0,cuda
6000,S76,paper1_deep_hgrl_ugv_assisted,0.012922262772917747,0.004650951828803818,0.019496953620091517,0.0502317202263577,1.0397772789001465,1.2476029768586159,1.0,0.0,cuda
6100,S11,paper1_deep_hgrl_ugv_assisted,0.017413031309843063,0.010785550041919834,0.017162219162855763,0.10955170229223654,1.2661944776773453,1.3627476543188095,1.0,0.0,cuda
